dataset,namespace,index_name,user_namespace,embed_model,top_k,persona,combine_strategy,rerank_strategy,update_strategy,alpha_mode,alpha_value,alpha_start,alpha_step,alpha_floor,final_alpha,case_count,mean_baseline_score,mean_post_score,mean_delta,wins,mean_baseline_rank,mean_post_rank,expected_retrieval_rate
sports2,sports2,541,users,llama-text-embed-v2,5,football,linear-comb,none,moving-average,sliding,,0.990000,0.020000,0.700000,0.790000,10,4.156757,6.526423,2.369667,9,4.100000,3.100000,0.600000
sports2,sports2,541,users,llama-text-embed-v2,5,football,linear-comb,none,moving-average,static,0.500000,,,,0.500000,10,4.156757,8.244441,4.087684,9,4.100000,2.700000,0.700000
sports2,sports2,541,users,llama-text-embed-v2,5,football,linear-comb,none,moving-average,static,0.800000,,,,0.800000,10,4.156757,6.352426,2.195669,8,4.100000,3.200000,0.600000
sports2,sports2,541,users,llama-text-embed-v2,5,football,linear-comb,none,moving-average,static,0.950000,,,,0.950000,10,4.156757,5.356449,1.199693,4,4.100000,3.700000,0.600000
sports2,sports2,541,users,llama-text-embed-v2,5,football,linear-comb,none,none,sliding,,0.990000,0.020000,0.700000,0.990000,10,4.156757,4.156757,0.000000,0,4.100000,4.100000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,linear-comb,none,none,static,0.500000,,,,0.500000,10,4.156757,4.156757,0.000000,0,4.100000,4.100000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,linear-comb,none,none,static,0.800000,,,,0.800000,10,4.156757,4.156757,0.000000,0,4.100000,4.100000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,linear-comb,none,none,static,0.950000,,,,0.950000,10,4.156757,4.156757,0.000000,0,4.100000,4.100000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,query-only,cross-encoder,moving-average,none,,,,,,10,3.714391,3.714391,0.000000,0,4.400000,4.400000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,query-only,cross-encoder,none,none,,,,,,10,3.714391,3.714391,0.000000,0,4.400000,4.400000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,query-only,none,moving-average,none,,,,,,10,4.156757,4.156757,0.000000,0,4.100000,4.100000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,query-only,none,none,none,,,,,,10,4.156757,4.156757,0.000000,0,4.100000,4.100000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,cross-encoder,moving-average,sliding,,0.990000,0.050000,0.500000,0.500000,10,3.714391,6.433866,2.719475,10,4.400000,3.600000,0.700000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,cross-encoder,moving-average,static,0.500000,,,,0.500000,10,3.714391,6.433866,2.719475,10,4.400000,3.600000,0.700000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,cross-encoder,moving-average,static,0.800000,,,,0.800000,10,3.714391,5.156581,1.442190,10,4.400000,3.900000,0.600000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,cross-encoder,moving-average,static,0.950000,,,,0.950000,10,3.714391,4.732174,1.017783,2,4.400000,3.900000,0.600000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,cross-encoder,none,sliding,,0.990000,0.050000,0.500000,0.990000,10,3.714391,3.714391,0.000000,0,4.400000,4.400000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,cross-encoder,none,static,0.500000,,,,0.500000,10,3.714391,3.714391,0.000000,0,4.400000,4.400000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,cross-encoder,none,static,0.800000,,,,0.800000,10,3.714391,3.714391,0.000000,0,4.400000,4.400000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,cross-encoder,none,static,0.950000,,,,0.950000,10,3.714391,3.714391,0.000000,0,4.400000,4.400000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,none,moving-average,sliding,,0.990000,0.050000,0.500000,0.500000,10,4.156757,8.244441,4.087684,9,4.100000,2.700000,0.700000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,none,moving-average,static,0.500000,,,,0.500000,10,4.156757,8.244441,4.087684,9,4.100000,2.700000,0.700000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,none,moving-average,static,0.800000,,,,0.800000,10,4.156757,6.653794,2.497037,10,4.100000,3.100000,0.600000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,none,moving-average,static,0.950000,,,,0.950000,10,4.156757,5.469597,1.312840,4,4.100000,3.500000,0.600000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,none,none,sliding,,0.990000,0.050000,0.500000,0.990000,10,4.156757,4.156757,0.000000,0,4.100000,4.100000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,none,none,static,0.500000,,,,0.500000,10,4.156757,4.156757,0.000000,0,4.100000,4.100000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,none,none,static,0.800000,,,,0.800000,10,4.156757,4.156757,0.000000,0,4.100000,4.100000,0.400000
sports2,sports2,541,users,llama-text-embed-v2,5,football,spherical-comb,none,none,static,0.950000,,,,0.950000,10,4.156757,4.156757,0.000000,0,4.100000,4.100000,0.400000
